1,2,car,1.3333333333333333,ENTERED
1,2,car,1.375, LEFT
1,33,car,5.916666666666667,ENTERED
1,33,car,7.083333333333333, RIGHT
2,8,car,43.416666666666664,ENTERED
2,5,car,43.958333333333336,ENTERED
2,8,car,44.208333333333336, RIGHT
2,61,car,46.958333333333336,ENTERED
1,71,car,47.875,ENTERED
2,68,car,49.083333333333336,ENTERED
1,71,car,49.708333333333336, LEFT
1,77,car,50.208333333333336,ENTERED
2,74,car,50.333333333333336,ENTERED
2,80,car,51.5,ENTERED
2,80,car,51.791666666666664, RIGHT
1,77,car,51.958333333333336, LEFT
2,83,car,52.416666666666664,ENTERED
